file;result;blur;noise;brightness;colors;looking;quality;3d
dreamstime_xxl_132647779.jpg;1;False;True;True;False;True;False;True
dreamstime_xxl_140346882.jpg;1;False;True;True;False;True;False;True
dreamstime_xxl_174509121.jpg;1;True;True;True;False;True;False;True
dreamstime_xxl_19108233.jpg;1;False;True;True;False;True;False;True
dreamstime_xxl_200710347.jpg;1;True;True;True;False;False;False;True
dreamstime_xxl_73583279.jpg;1;False;True;True;False;True;False;True
shutterstock_100136807.jpg;1;True;True;True;False;True;False;True
shutterstock_101384311.jpg;1;True;True;False;True;True;False;True
shutterstock_106377965.jpg;1;True;True;True;True;True;False;True
shutterstock_108705380.jpg;1;True;True;False;False;True;False;True
shutterstock_111618362.jpg;1;True;True;False;True;False;False;True
shutterstock_113588872.jpg;1;True;True;True;True;True;False;True
shutterstock_115696429.jpg;1;False;True;True;False;True;False;True
shutterstock_119145304.jpg;1;True;True;True;True;True;False;True
shutterstock_122932099.jpg;1;True;True;True;False;True;False;True
shutterstock_130181342.jpg;1;False;True;True;True;True;False;True
shutterstock_138247598.jpg;1;False;True;True;False;True;False;True
shutterstock_141071065.jpg;1;False;True;True;False;True;False;True
shutterstock_151590197.jpg;1;False;True;True;True;True;False;True
shutterstock_157813322.jpg;1;False;True;True;False;True;False;True
shutterstock_160438778.jpg;1;False;True;True;False;True;False;True
shutterstock_175347704.jpg;1;True;True;True;True;True;False;True
shutterstock_181823879.jpg;1;True;True;True;True;True;False;True
shutterstock_193988297.jpg;1;False;True;True;True;True;False;True
shutterstock_25254232.jpg;1;True;True;True;False;True;False;True
shutterstock_3509812.jpg;1;False;True;True;True;True;False;True
shutterstock_56118271.jpg;1;True;True;True;True;True;False;True
shutterstock_59063242.jpg;1;False;True;True;True;True;False;True
shutterstock_63219457.jpg;1;True;True;True;False;True;False;True
shutterstock_75681181.jpg;1;False;True;True;False;True;False;True
shutterstock_93014782.jpg;1;True;True;True;False;True;False;True
shutterstock_97381475.jpg;1;True;True;True;True;False;False;False
shutterstock_97942163.jpg;0;False;True;False;False;True;False;False
shutterstock_99905657.jpg;1;True;True;True;False;True;False;True
